Sr.No,Ib (mA),Vb(mv),T1,T2,Normalizarion 100,Inc Volt,Normalization 80,
1,630,8410,30,30,0,5120,0,100
2,635,8410,30,30,0.007473283,5130,0.006352333,99.99364771
3,630,8410,30,30,0.014946566,5140,0.012704667,99.98729542
4,630,8410,30,30,0.022419849,5150,0.019057,99.98094313
5,635,8400,30,30,0.029893132,5160,0.025409333,99.97459084
6,630,8400,30,30,0.037366415,5170,0.031761666,99.96823855
7,630,8400,30,30,0.044839698,5180,0.038114,99.96188626
8,635,8400,30,30,0.052312981,5190,0.044466333,99.95553397
9,640,8400,30,30,0.059786264,5200,0.050818666,99.94918168
10,635,8400,30,30,0.067259547,5210,0.057171,99.94282938
11,635,8390,30,30,0.07473283,5220,0.063523333,99.93647709
12,630,8390,30,30,0.082206113,5230,0.069875666,99.9301248
13,635,8390,30,30,0.089679396,5240,0.076227999,99.92377251
14,630,8390,30,30,0.097152679,5240,0.082580333,99.91742022
15,635,8390,30,30,0.104625962,5250,0.088932666,99.91106793
16,635,8390,30,30,0.112099245,5260,0.095284999,99.90471564
17,640,8390,30,30,0.119572528,5270,0.101637333,99.89836335
18,640,8390,30,30,0.127045811,5280,0.107989666,99.89201106
19,630,8380,30,30,0.134519094,5290,0.114341999,99.88565877
20,635,8380,30,30,0.141992377,5290,0.120694332,99.87930648
21,635,8380,30,30,0.14946566,5300,0.127046666,99.87295419
22,640,8380,30,30,0.156938943,5310,0.133398999,99.8666019
23,645,8380,30,30,0.164412226,5320,0.139751332,99.86024961
24,635,8380,30,30,0.171885509,5330,0.146103665,99.85389732
25,625,8380,30,30,0.179358792,5330,0.152455999,99.84754503
26,630,8380,30,30,0.186832075,5340,0.158808332,99.84119274
27,635,8380,30,30,0.194305358,5350,0.165160665,99.83484045
28,635,8370,30,30,0.201778641,5360,0.171512999,99.82848815
29,630,8370,30,30,0.209251924,5360,0.177865332,99.82213586
30,640,8370,30,30,0.216725207,5370,0.184217665,99.81578357
31,635,8370,30,30,0.22419849,5380,0.190569998,99.80943128
32,635,8370,30,30,0.231671773,5380,0.196922332,99.80307899
33,635,8370,30,30,0.239145056,5390,0.203274665,99.7967267
34,640,8370,30,30,0.246618339,5400,0.209626998,99.79037441
35,635,8370,30,30,0.254091622,5400,0.215979332,99.78402212
36,635,8370,30,30,0.261564905,5410,0.222331665,99.77766983
37,630,8370,30,30,0.269038188,5420,0.228683998,99.77131754
38,640,8360,30,30,0.276511471,5420,0.235036331,99.76496525
39,640,8360,30,30,0.283984755,5430,0.241388665,99.75861296
40,640,8360,30,30,0.291458038,5440,0.247740998,99.75226067
41,635,8360,30,30,0.298931321,5440,0.254093331,99.74590838
42,630,8360,30,30,0.306404604,5440,0.260445665,99.73955609
43,635,8360,30,30,0.313877887,5450,0.266797998,99.7332038
44,635,8360,30,30,0.32135117,5460,0.273150331,99.72685151
45,635,8360,30,30,0.328824453,5460,0.279502664,99.72049922
46,635,8360,30,30,0.336297736,5470,0.285854998,99.71414692
